glyph_id,page_number,line_number,sura_number,ayah_number,position,min_x,max_x,min_y,max_y
3653,187,2,6,57,2,473,1198,148,281
3654,187,2,6,58,1,0,473,148,281
3655,187,3,6,58,2,0,1198,286,418
3656,187,4,6,58,3,572,1198,423,555
3657,187,4,6,59,1,0,572,423,555
3658,187,5,6,59,2,0,1198,560,693
3659,187,6,6,59,3,0,1198,698,830
3660,187,7,6,59,4,0,1198,835,968
3661,187,8,6,59,5,722,1198,973,1105
3662,187,8,6,60,1,0,722,973,1105
3663,187,9,6,60,2,0,1198,1110,1243
3664,187,10,6,60,3,0,1198,1248,1380
3665,187,11,6,60,4,425,1198,1385,1517
3666,187,11,6,61,1,0,425,1385,1517
3667,187,12,6,61,2,0,1198,1522,1655
3668,187,13,6,61,3,13,1198,1660,1793
3669,188,1,6,62,1,0,1198,10,143
3670,188,2,6,62,2,571,1198,148,281
3671,188,2,6,63,1,0,571,148,281
3672,188,3,6,63,2,0,1198,286,418
3673,188,4,6,63,3,13,1198,423,555
3674,188,5,6,64,1,0,1198,560,693
3675,188,6,6,64,2,888,1198,698,830
3676,188,6,6,65,1,0,888,698,830
3677,188,7,6,65,2,0,1198,835,968
3678,188,8,6,65,3,0,1198,973,1105
3679,188,9,6,65,4,308,1198,1110,1243
3680,188,9,6,66,1,0,308,1110,1243
3681,188,10,6,66,2,13,1198,1248,1380
3682,188,11,6,67,1,273,1198,1385,1517
3683,188,11,6,68,1,0,273,1385,1517
3700,188,12,6,68,2,0,1198,1522,1655
3701,188,13,6,68,3,0,1198,1660,1793
3702,189,1,6,68,1,13,1198,10,143
3703,189,2,6,69,1,0,1198,148,281
3704,189,3,6,69,2,338,1198,286,418
3705,189,3,6,70,1,0,338,286,418
3706,189,4,6,70,2,0,1198,423,555
3707,189,5,6,70,3,0,1198,560,693
3708,189,6,6,70,4,0,1198,698,830
3709,189,7,6,70,5,0,1198,835,968
3710,189,8,6,70,6,0,1198,973,1105
3711,189,9,6,70,7,536,1198,1110,1243
3712,189,9,6,71,1,0,536,1110,1243
3713,189,10,6,71,2,0,1198,1248,1380
3714,189,11,6,71,3,0,1198,1385,1517
3715,189,12,6,71,4,0,1198,1522,1655
3716,189,13,6,71,5,0,1198,1660,1793
3717,190,1,6,71,1,327,1198,10,143
3718,190,1,6,72,1,0,327,10,143
3719,190,2,6,72,2,13,1198,148,281
3720,190,3,6,73,1,0,1198,286,418
